Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гайдамака,Ліза,Василівна,Жіноча,05.09.2004,Палеонтолог,село Вознесенськ,"вулиця Шишкіна 2-й, буд. 195, Щолкіне, 30741",+380 38 567-88-95,borystalan@example.org
Носенко,Веніямин,Михайлович,Чоловіча,13.01.1989,Мовознавець,селище Хоростків,"вулиця Азовський, буд. 386, Зеленодольськ, 92888",+380 (99) 689-10-78,fedirderkach@example.org
Ільєнко,Леонтій,Олександрович,Чоловіча,23.05.1961,Кухар,селище Синельникове,"вулиця Косвена, буд. 746 кв. 150, Перещепине, 12545",371 46 37,ihnathodunok@example.com
Перебийніс,Аніта,Іванівна,Жіноча,08.01.1950,Модельєр,селище Красноград,"шосе Косовська, буд. 9 кв. 4, Новоселиця, 03799",989-46-61,ushutko@example.org
Хмара,Леон,Васильович,Чоловіча,13.09.1947,Паралегал,село Павлоград,"проспект Заводська 1-ша, буд. 858, Дубляни, 62247",016 286-00-37,adamishchenko@example.net
Іщенко,Федір,Володимирович,Чоловіча,06.09.1996,Математик,місто Умань,"узвіз Іспанська, буд. 77 кв. 7, Івано-Франківськ, 25575",+380 87 049-28-12,leonidbandurka@example.net
Безбородьки,Леонтій,Іванович,Чоловіча,10.10.1958,Мовознавець,селище Носівка,"площа М’ясоєдовська, буд. 8 кв. 120, Костопіль, 12901",+380 19 677 36 62,babychenkoielysaveta@example.org
Штокало,Мілена,Олександрівна,Жіноча,21.12.1974,Біолог,хутір Ланівці,"парк Поштовий, буд. 17, Монастирище, 03475",+380 (89) 513-50-09,lazarenkozlatoslava@example.org
Кальченко,Пантелеймон,Олександрович,Чоловіча,24.10.1989,Адвокат,хутір Золоте,"площа Грузинська, буд. 9 кв. 92, Шахтарськ, 17288",+380 84 275-90-85,balabandemyd@example.net
Артеменко,Борислав,Сергійович,Чоловіча,11.12.1945,Публіцист,місто Чернівці,"набережна Нікітіна, буд. 171, Білопілля, 04844",315-75-80,ustymartiukh@example.org
Зубко,Любов,Олександрівна,Жіноча,20.04.1995,Ветеринар,селище Рівне,"площа Академіка Вільямса, буд. 25, Кілія, 19483",+380 (03) 420-29-22,tymofii35@example.net
Пилипенко,Наталія,Василівна,Жіноча,29.09.1964,Художник,село Берегове,"проспект Кощового отамана, буд. 7, Підгородне, 62219",+380 (01) 246-80-54,edubenko@example.org
Джус,Ада,Миколаївна,Жіноча,26.09.1986,Локсмайстер,селище Бахмач,"вулиця Лейтенанта Шмідта, буд. 080, Золотоноша, 81706",+380 (49) 316-79-04,shutkooryna@example.com
Копитко,Аніта,Володимирівна,Жіноча,15.08.1939,Сантехнік,хутір Вилкове,"проспект Запорізька, буд. 80 кв. 5, Ватутіне, 92916",332 74 64,andrii10@example.net
Атрощенко,Пріска,Володимирівна,Жіноча,10.01.2006,М'ясник,селище Кобеляки,"проспект Лінія 31-ша, буд. 2 кв. 057, Каховка, 77316",052 082 34 50,cpushkar@example.org
Зінкевич,Костянтин,Володимирович,Чоловіча,20.09.1984,Бібліограф,хутір Берегове,"вулиця Болгарська, буд. 8 кв. 8, Феодосія, 79629",051 134-19-65,hordiireva@example.net
Черненко,Михайло,Васильович,Чоловіча,27.05.1958,Паблік рилейшнз,хутір Городище ,"проспект Шоста, буд. 31 кв. 3, Євпаторія, 20464",880-74-50,mykhailynateslia@example.net
Ващенко,Любов,Миколаївна,Жіноча,05.02.1947,Слідчий,місто Баштанка,"узвіз Український 1-й, буд. 718, Світлодарськ, 83215",+380 46 862 80 26,satsiuksemen@example.net
Влох,Михайло,Васильович,Чоловіча,13.03.1977,Епідеміолог,хутір Покров,"узвіз Місячна, буд. 2 кв. 118, Перевальськ, 52383",+380 15 426-12-82,opanchuk@example.com
Демʼяненко,Людмила,Сергіївна,Жіноча,09.02.1949,Композитор,селище Яремче,"набережна Андрійця Олега, буд. 00, Нововолинськ, 43676",+380 (96) 864-02-85,irynazarudnyi@example.net
Данченко,Демʼян,Олександрович,Чоловіча,27.04.1966,Професор,місто Любомль,"набережна Аеродромний 2-й, буд. 01 кв. 738, Бердянськ, 43281",+380 11 845-56-78,iryna85@example.net
Швачка,Оксана,Миколаївна,Жіноча,03.05.1970,Професор,хутір Борзна,"провулок Крилова, буд. 0 кв. 062, Бахмут, 22448",566-50-91,semen41@example.com
Чекалюк,Петро,Володимирович,Чоловіча,11.02.1993,Хореограф,місто Алмазна,"сквер Проектований 4-й, буд. 236, Вилкове, 17936",+380 66 836 15 68,vostapchuk@example.net
Затовканюк,Орися,Михайлівна,Жіноча,15.06.1951,Флорист,хутір П'ятихатки,"провулок Деревообробний 4-й, буд. 358 кв. 371, Лиман , 63779",+380 (93) 007-47-67,bashpolchenkopanteleimon@example.net
Теличенко,Тереза,Олександрівна,Жіноча,19.08.1943,Конструктор,хутір Городня,"провулок Лютеранський, буд. 9, Барвінкове, 75785",+380 88 176-82-26,mykolai12@example.com
Носаченко,Мілена,Василівна,Жіноча,01.03.1961,Провізор,хутір Старокостянтинів,"шосе Пішонівська, буд. 75 кв. 68, Армянськ, 71363",+380 62 322 07 15,ytaran@example.com
Андрейко,Орина,Іванівна,Жіноча,15.07.1938,Водій,село Липовець,"проспект Перепечка, буд. 93, Бахчисарай, 28602",011-71-08,mykhailo39@example.net
Рябовіл,Степан,Михайлович,Чоловіча,02.02.1996,Педагог,село Бурштин ,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 1, Івано-Франківськ, 23959",018 597-19-06,chekaliukemiliia@example.net
Панчук,Трохим,Васильович,Чоловіча,13.07.1959,Пілот,селище Васильків,"набережна Кордонна, буд. 87, Боково-Хрустальне, 63411",+380 28 545-83-92,vasylyna05@example.com
Овчаренко,Павло,Сергійович,Чоловіча,02.04.1991,Графік,селище Сватове,"вулиця Савранська, буд. 75, Новодністровськ, 23415",+380 (80) 068-05-90,ielysei69@example.net
Єрьоменко,Анжела,Сергіївна,Жіноча,17.12.1958,Дипломат,селище Хмільник,"набережна Лінія 49-та, буд. 323, Прип'ять , 37318",007 359-13-25,shakhraivalerii@example.org
Оніщук,Марія,Володимирівна,Жіноча,23.01.1956,Антрополог,місто Перевальськ,"шосе Василя Кандинського 3-й, буд. 7 кв. 2, Знам'янка, 04398",+380 57 203-87-36,maryna44@example.org
Павличенко,Лариса,Вікторівна,Жіноча,21.09.1946,Сантехнік,хутір Берислав,"парк Отрада, буд. 97, Молодогвардійськ, 33101",097 13 29,oleh61@example.com
Вернидуб,Святослав,Михайлович,Чоловіча,05.08.2001,Електрослюсар,село Устилуг,"узвіз Лінійна, буд. 11 кв. 6, Красноград, 42451",+380 33 091-66-77,lshamrai@example.org
Височан,Мирослав,Володимирович,Чоловіча,25.04.1967,Економіст,місто Рогатин,"парк Леваневського, буд. 67 кв. 146, Герца, 81598",086 751 99 76,anzhela53@example.com
Шевченко,Герман,Васильович,Чоловіча,23.12.2001,Електротехнік,місто Карлівка,"набережна Амурський 2-й, буд. 25 кв. 31, Богодухів, 45524",065 350-10-16,yovcharenko@example.net
Бабʼюк,Вікторія,Олександрівна,Жіноча,24.01.1965,Фармацевт,селище Берегове,"площа Псковський, буд. 8 кв. 4, Бурштин , 63527",+380 56 429-94-95,chumachenkoadam@example.com
Деряжний,Семен,Миколайович,Чоловіча,16.03.2004,Астрофізик,селище Білгород-Дністровський,"набережна Тінистий, буд. 5 кв. 416, Шепетівка, 86220",080 516 34 90,danylohavryliuk@example.net
